name,rate,votes
Jalsa,4.1,775
Spice Elephant,4.1,787
San Churro Cafe,3.8,918
Addhuri Udupi Bhojana,3.7,88
Grand Village,3.8,166
Timepass Dinner,3.8,286
Rosewood International Hotel - Bar & Restaurant,3.6,8
Onesta,4.6,2556
Penthouse Cafe,4.0,324
Smacznego,4.2,504
CafÃÂÃÂÃÂÃÂ© Down The Alley,4.1,402
Cafe Shuffle,4.2,150
The Coffee Shack,4.2,164
Caf-Eleven,4.0,424
San Churro Cafe,3.8,918
Cafe Vivacity,3.8,90
Catch-up-ino,3.9,133
Kirthi's Biryani,3.8,144
T3H Cafe,3.9,93
360 Atoms Restaurant And Cafe,3.1,13
The Vintage Cafe,3.0,62
Woodee Pizza,3.7,180
Cafe Coffee Day,3.6,28
My Tea House,3.6,62
Hide Out Cafe,3.7,31
CAFE NOVA,3.2,11
Coffee Tindi,3.8,75
Sea Green Cafe,3.3,4
Cuppa,3.3,23
Srinathji's Cafe,3.8,148
Redberrys,4.0,219
Foodiction,2.8,506
Sweet Truth,3.9,35
Ovenstory Pizza,3.9,172
Faasos,4.2,415
Behrouz Biryani,3.9,230
Fast And Fresh,2.8,91
Szechuan Dragon,4.2,1647
Empire Restaurant,4.4,4884
Maruthi Davangere Benne Dosa,4.0,17
Chaatimes,3.8,133
Havyaka Mess,3.9,28
McDonald's,3.9,286
Domino's Pizza,3.9,540
Onesta,4.6,2556
Hotboxit,3.8,36
Kitchen Garden,3.6,244
Recipe,4.0,804
Beijing Bites,3.7,679
Tasty Bytes,3.1,245
Petoo,3.7,21
Shree Cool Point,4.1,28
Corner House Ice Cream,4.3,345
Biryanis And More,4.0,618
Roving Feast,4.0,1047
FreshMenu,3.9,627
Banashankari Donne Biriyani,3.8,104
Wamama,4.2,354
Five Star Chicken,3.6,55
XO Belgian Waffle,3.7,17
Peppy Peppers,4.2,244
Goa 0 Km,3.6,163
Chinese Kitchen,3.8,58
1947,4.0,808
Cake of the Day,3.7,78
Kabab Magic,4.1,1720
Namma Brahmin's Idli,3.6,34
Gustoes Beer House,4.1,868
Sugar Rush,3.8,39
Burger King,3.2,71
The Good Bowl,3.6,6
The Biryani Cafe,4.1,520
LSD Cafe,2.9,84
Rolls On Wheels,3.6,299
Sri Guru Kottureshwara Davangere Benne Dosa,4.1,558
Devanna Dum Biriyani Centre,3.6,28
Kolbeh,3.7,22
Upahar Sagar,3.8,39
Kadalu Sea Food Restaurant,3.8,153
Frozen Bottle,4.2,146
Parimala Sweets,3.5,14
Vaishali Deluxe,3.8,42
The Big O Bakes,4.0,66
Meghana Foods,4.4,4401
Krishna Sagar,3.5,31
Dessert Rose,3.5,7
Chickpet Donne Biryani House,3.7,21
Thanco's Natural Ice Creams,3.2,9
Nandhini Deluxe,2.6,283
Vi Ra's Bar and Restaurant,3.3,62
Kaggis,3.8,64
Ayda Persian Kitchen,3.7,39
Chatar Patar,3.7,65
Polar Bear,3.8,71
Kidambi's Kitchen,3.5,52
Mane Thindi,3.7,130
Kotian Karavali Restaurant,3.5,10
Floured-Baked With Love,3.8 ,45
CAFE NOVA,3.2,11
Cakes & Slices,3.5,13
Spice 9,3.4,8
